COMPANY,Rating,Review,Type,Old,No._of_employes
TCS,3.9,(45.4k Reviews),Public,54 years old,1 Lakh+ Employees (India)
Accenture,4.2,(29.7k Reviews),Public,33 years old,1 Lakh+ Employees (India)
Cognizant,4.0,(26.9k Reviews),Private,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(33.5k Reviews),Public,28 years old,50k-1 Lakh Employees (India)
Wipro,3.9,(25.3k Reviews),Public,77 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(35.1k Reviews),Public,28 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(21.9k Reviews),Public,55 years old,1 Lakh+ Employees (India)
HCL Technologies,3.9,(21.5k Reviews),Public,46 years old,1 Lakh+ Employees (India)
Infosys,4.0,(25.6k Reviews),Public,41 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.8,(19.8k Reviews),Public,36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(20k Reviews),Private,25 years old,50k-1 Lakh Employees (India)
Axis Bank,3.9,(17.7k Reviews),Public,29 years old,50k-1 Lakh Employees (India)
IBM,4.2,(14.7k Reviews),Public,111 years old,50k-1 Lakh Employees (India)
Amazon,4.2,(14.3k Reviews),Private,28 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(14.2k Reviews),Public,39 years old,10k-50k Employees (India)
Larsen & Toubro ...,4.1,(19.9k Reviews),Public,84 years old,10k-50k Employees (India)
Reliance jio,4.0,(13.7k Reviews),Public,15 years old,10k-50k Employees (India)
Vodafone Idea,4.3,(13.2k Reviews),Public,4 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(12.4k Reviews),Private,15 years old,1 Lakh+ Employees (India)
Teleperformance,3.6,(10.1k Reviews),Private,44 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.9,(12.8k Reviews),Public,19 years old,10k-50k Employees (India)
Reliance Industr...,4.1,(39.1k Reviews),Public,49 years old,1 Lakh+ Employees (India)
Bharti Airtel,4.1,(12k Reviews),Public,27 years old,5k-10k Employees (India)
Deloitte,4.1,(8.6k Reviews),Private,177 years old,10k-50k Employees (India)
Tata Motors,4.1,(8.5k Reviews),Public,77 years old,50k-1 Lakh Employees (India)
Reliance Retail,4.1,(13.4k Reviews),Private,16 years old,1 Lakh+ Employees (India)
Mahindra & Mahin...,4.1,(19.9k Reviews),Public,77 years old,10k-50k Employees (India)
WNS,3.7,(6.5k Reviews),Private,26 years old,10k-50k Employees (India)
IndusInd Bank,3.8,(6.4k Reviews),Public,28 years old,10k-50k Employees (India)
DXC Technology,3.9,(6.6k Reviews),Public,31 years old,10k-50k Employees (India)
Hinduja Global S...,4.0,(5.8k Reviews),Public,22 years old,1k-5k Employees (India)
Ernst & Young,3.8,(5.6k Reviews),Private,20 years old,50k-1 Lakh Employees (India)
Maruti Suzuki,4.1,(5.6k Reviews),Public,39 years old,10k-50k Employees (India)
Infosys BPM,4.0,(5.4k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",10k-50k Employees (India),
Samsung,4.1,(7.8k Reviews),Private,84 years old,50k-1 Lakh Employees (India)
HSBC,4.1,(5.7k Reviews),Private,20 years old,10k-50k Employees (India)
BYJU'S,3.6,(9.6k Reviews),Private,11 years old,1k-5k Employees (India)
Ericsson,4.3,(5.2k Reviews),Private,146 years old,10k-50k Employees (India)
Bajaj Finserv,4.1,(12.9k Reviews),Public,15 years old,10k-50k Employees (India)
Conneqt Business...,3.8,(4.8k Reviews),Private,20 years old,10k-50k Employees (India)
IDFC FIRST Bank,4.0,(4.7k Reviews),Public,4 years old,10k-50k Employees (India)
Dr. Reddy's,4.2,(4.8k Reviews),Public,36 years old,10k-50k Employees (India)
Startek,3.5,(4.6k Reviews),Public,5 years old,5k-10k Employees (India)
Mphasis,3.8,(4.5k Reviews),Public,22 years old,1k-5k Employees (India)
Jana Small Finan...,3.9,(4.5k Reviews),Public,16 years old,10k-50k Employees (India)
Sutherland Globa...,3.9,(4.9k Reviews),Private,36 years old,10k-50k Employees (India)
Cipla Pharmaceut...,4.1,(4.5k Reviews),Public,87 years old,10k-50k Employees (India)
Yes Bank,4.0,(4.4k Reviews),Public,18 years old,10k-50k Employees (India)
ICICI Prudential...,4.1,(4.3k Reviews),Public,22 years old,10k-50k Employees (India)
Bajaj Allianz Li...,4.2,(4.4k Reviews),Private,21 years old,10k-50k Employees (India)
Asian Paints,4.3,(4.8k Reviews),Public,80 years old,10k-50k Employees (India)
NTT DATA,4.1,(8k Reviews),Private,34 years old,10k-50k Employees (India)
Lupin,4.2,(4.2k Reviews),Public,54 years old,10k-50k Employees (India)
Indian Army,4.7,(4k Reviews),Public,127 years old,1 Lakh+ Employees (India)
Udaan,4.2,(4k Reviews),Private,6 years old,10k-50k Employees (India)
HDFC Life,4.1,(4k Reviews),Public,22 years old,10k-50k Employees (India)
EXL Service,3.9,(5k Reviews),Private,23 years old,10k-50k Employees (India)
Zydus Cadila,4.1,(5k Reviews),Public,70 years old,10k-50k Employees (India)
Home Credit Fina...,4.2,(3.9k Reviews),Private,10 years old,10k-50k Employees (India)
L&T Infotech,3.9,(3.7k Reviews),Public,26 years old,10k-50k Employees (India)
PwC,3.8,(3.7k Reviews),Partnership,24 years old,5k-10k Employees (India)
Bajaj Finance,4.2,(3.6k Reviews),Private,35 years old,10k-50k Employees (India)
Hindustan Unilev...,4.3,(5.8k Reviews),Public,89 years old,10k-50k Employees (India)
UltraTech Cement,4.3,(3.9k Reviews),Public,39 years old,10k-50k Employees (India)
Ujjivan Small Fi...,4.1,(3.5k Reviews),Public,5 years old,10k-50k Employees (India)
ITC,3.9,(7.1k Reviews),Public,47 years old,10k-50k Employees (India)
Hewlett-Packard ...,4.3,(5k Reviews),Private,83 years old,10k-50k Employees (India)
OPPO,4.0,(3.7k Reviews),Public,18 years old,10k-50k Employees (India)
Paytm,3.8,(4.3k Reviews),Public,12 years old,10k-50k Employees (India)
Shapoorji Pallon...,4.3,(5.2k Reviews),Private,157 years old,5k-10k Employees (India)
IIFL,3.9,(3.4k Reviews),Public,27 years old,5k-10k Employees (India)
KPMG,3.8,(3.4k Reviews),Partnership,35 years old,10k-50k Employees (India)
Mindtree,4.1,(3.3k Reviews),Public,23 years old,10k-50k Employees (India)
JP Morgan Chase,4.2,(3.3k Reviews),Private,22 years old,10k-50k Employees (India)
Shriram Transpor...,4.2,(5.2k Reviews),Public,43 years old,10k-50k Employees (India)
Ashok Leyland,4.1,(4k Reviews),Public,74 years old,10k-50k Employees (India)
Mahindra & Mahin...,4.3,(3.3k Reviews),Public,31 years old,10k-50k Employees (India)
Sun Pharmaceutic...,4.1,(3.8k Reviews),Public,39 years old,10k-50k Employees (India)
Intelenet Global...,3.7,(3.3k Reviews),Private,22 years old,10k-50k Employees (India)
Aurobindo Pharma,4.1,(3.5k Reviews),Public,36 years old,1k-5k Employees (India)
Vivo,4.1,(3.2k Reviews),Private,13 years old,5k-10k Employees (India)
Apollo Hospitals,4.1,(5.1k Reviews),Public,39 years old,50k-1 Lakh Employees (India)
Reliance Communi...,4.0,(3.6k Reviews),Public,20 years old,10k-50k Employees (India)
Fidelity Nationa...,4.1,(3.3k Reviews),Private,17 years old,10k-50k Employees (India)
Wells Fargo Indi...,4.3,(3.1k Reviews),Public,170 years old,10k-50k Employees (India)
Future Group,4.2,(10.1k Reviews),Private,9 years old,50k-1 Lakh Employees (India)
Siemens,4.2,(3.2k Reviews),Public,30 years old,10k-50k Employees (India)
Nokia,4.4,(3.2k Reviews),Private,157 years old,10k-50k Employees (India)
Bandhan Bank,3.9,(3.3k Reviews),Public,21 years old,10k-50k Employees (India)
eClerx,3.7,(3k Reviews),Public,22 years old,5k-10k Employees (India)
Delhivery,4.2,(3k Reviews),Private,11 years old,10k-50k Employees (India)
Max Life Insuran...,4.2,(3k Reviews),JV,22 years old,10k-50k Employees (India)
Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 38 more,1 Lakh+ Employees (India),
TVS Motor,4.1,(3.1k Reviews),Public,43 years old,5k-10k Employees (India)
AU Small Finance...,4.1,(3.9k Reviews),Private,26 years old,10k-50k Employees (India)
Cyient,3.7,(2.9k Reviews),Public,31 years old,10k-50k Employees (India)
Tata Projects,4.2,(2.9k Reviews),Public,43 years old,5k-10k Employees (India)
Oyo Rooms,3.5,(3.1k Reviews),Private,9 years old,1k-5k Employees (India)
First Source,4.0,(2.9k Reviews),Public,21 years old,5k-10k Employees (India)
JLL,4.3,(2.9k Reviews),Private,25 years old,10k-50k Employees (India)
Oracle,3.9,(3.6k Reviews),Public,45 years old,10k-50k Employees (India)
Hero MotoCorp,4.3,(2.9k Reviews),Public,38 years old,5k-10k Employees (India)
JSW Steel,3.9,(4.2k Reviews),Public,40 years old,10k-50k Employees (India)
Hexaware Technol...,3.8,(2.9k Reviews),Public,32 years old,10k-50k Employees (India)
TATA Steel,4.1,(4.3k Reviews),Public,115 years old,10k-50k Employees (India)
Hyundai Motor,4.1,(3.8k Reviews),Private,55 years old,5k-10k Employees (India)
Bosch,4.3,(3.6k Reviews),Public,136 years old,10k-50k Employees (India)
JustDial,3.6,(2.7k Reviews),Public,26 years old,10k-50k Employees (India)
Atos Syntel,3.8,(4.4k Reviews),Private,42 years old,10k-50k Employees (India)
iEnergizer,3.5,(2.6k Reviews),Private,22 years old,5k-10k Employees (India)
Quess,3.9,(7.8k Reviews),Public,15 years old,10k-50k Employees (India)
Megha Engineerin...,4.2,(2.6k Reviews),Private,33 years old,1k-5k Employees (India)
Dell,4.3,(3.5k Reviews),Private,38 years old,50k-1 Lakh Employees (India)
Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 61 more",1k-5k Employees (India),
L&T Construction,4.2,(3.5k Reviews),Public,78 years old,10k-50k Employees (India)
Godrej & Boyce M...,3.9,(2.5k Reviews),Private,125 years old,10k-50k Employees (India)
BNY Mellon,4.2,(2.5k Reviews),Private,18 years old,10k-50k Employees (India)
Omega Healthcare,3.8,(2.5k Reviews),Private,18 years old,1k-5k Employees (India)
Fullerton India,4.2,(2.4k Reviews),Private,15 years old,10k-50k Employees (India)
SBI Cards & Paym...,3.8,(2.4k Reviews),Public,24 years old,5k-10k Employees (India)
Cgi Group,4.2,(2.5k Reviews),Private,31 years old,10k-50k Employees (India)
UnitedHealth,4.2,(4.3k Reviews),Private,45 years old,10k-50k Employees (India)
Aditya Birla Fas...,4.3,(2.8k Reviews),Private,7 years old,10k-50k Employees (India)
Manappuram Finan...,4.0,(3.1k Reviews),Public,73 years old,10k-50k Employees (India)
D Mart,4.0,(2.4k Reviews),Private,22 years old,5k-10k Employees (India)
IQVIA,4.2,(2.3k Reviews),Partnership,40 years old,10k-50k Employees (India)
Axis Direct,4.0,(2.3k Reviews),Private,11 years old,1k-5k Employees (India)
Dominos Pizza,4.1,(2.3k Reviews),Public,62 years old,1k-5k Employees (India)
Nagarjuna Constr...,4.2,(2.4k Reviews),Public,24 years old,1k-5k Employees (India)
CBRE,4.3,(2.3k Reviews),Private,116 years old,10k-50k Employees (India)
Wipro Consumer ...,3.8,(2.9k Reviews),Private,77 years old,1k-5k Employees (India)
Equitas Small Fi...,4.2,(2.3k Reviews),Private,15 years old,1k-5k Employees (India)
Royal Enfield,4.2,(2.3k Reviews),Private,67 years old,5k-10k Employees (India)
State Bank of In...,3.9,(2.3k Reviews),"Mumbai,Maharashtra + 333 more",1 Lakh+ Employees (India),
JBM Group,4.1,(2.8k Reviews),Public,39 years old,1k-5k Employees (India)
Nagarro,4.6,(2.2k Reviews),Private,26 years old,5k-10k Employees (India)
Bajaj Auto,4.1,(5.9k Reviews),Public,77 years old,201-500 Employees (India)
ICICI Lombard Ge...,3.8,(2.2k Reviews),Public,21 years old,5k-10k Employees (India)
Tata Communicati...,4.2,(3k Reviews),Public,36 years old,10k-50k Employees (India)
Muthoot Fincorp,4.0,(2.2k Reviews),Private,135 years old,10k-50k Employees (India)
Amdocs,4.1,(2.2k Reviews),Private,40 years old,10k-50k Employees (India)
UST,4.1,(2.3k Reviews),Private,21 years old,10k-50k Employees (India)
Bosch Global Sof...,4.2,(2.2k Reviews),Private,32 years old,10k-50k Employees (India)
Flex,4.2,(2.2k Reviews),Private,53 years old,10k-50k Employees (India)
LG Electronics,4.1,(2.2k Reviews),Public,64 years old,5k-10k Employees (India)
John Deere,4.4,(2.4k Reviews),Private,21 years old,1k-5k Employees (India)
L&T Financial Se...,4.1,(2.1k Reviews),Public,28 years old,10k-50k Employees (India)
Motherson Sumi S...,3.9,(3.5k Reviews),Public,36 years old,1k-5k Employees (India)
Sodexo,4.1,(2.2k Reviews),Private,14 years old,10k-50k Employees (India)
Ford Motor,4.5,(2.5k Reviews),Public,119 years old,5k-10k Employees (India)
Whitehat jr,3.8,(2.1k Reviews),Private,4 years old,5k-10k Employees (India)
Hetero Drugs,4.0,(2.5k Reviews),Private,29 years old,1k-5k Employees (India)
Ecom Express,4.3,(2.1k Reviews),Private,10 years old,10k-50k Employees (India)
Alembic Pharmace...,4.1,(2.1k Reviews),Public,115 years old,5k-10k Employees (India)
KEC Internationa...,4.2,(2.1k Reviews),Public,77 years old,5k-10k Employees (India)
Indiamart Interm...,3.8,(2.1k Reviews),Private,26 years old,10k-50k Employees (India)
SBI Life Insuran...,3.8,(2.1k Reviews),Public,21 years old,10k-50k Employees (India)
Abbott Healthcar...,4.2,(3.4k Reviews),Public,31 years old,10k-50k Employees (India)
Cholamandalam In...,4.3,(2.1k Reviews),Private,44 years old,1k-5k Employees (India)
Schneider Electr...,4.2,(3.7k Reviews),Private,23 years old,10k-50k Employees (India)
Hindustan Coca C...,4.4,(2k Reviews),Private,25 years old,1k-5k Employees (India)
Simplex Infrastr...,3.7,(2.2k Reviews),Public,98 years old,1k-5k Employees (India)
BigBasket,4.2,(2.1k Reviews),Private,11 years old,5k-10k Employees (India)
GlobalLogic,4.0,(2k Reviews),Private,22 years old,5k-10k Employees (India)
Thermax,4.3,(2.3k Reviews),Public,42 years old,1k-5k Employees (India)
Subros,4.0,(2k Reviews),Public,37 years old,1k-5k Employees (India)
Muthoot Group,3.7,(4.4k Reviews),Public,135 years old,1k-5k Employees (India)
Intas Pharmaceut...,4.3,(2k Reviews),Private,22 years old,5k-10k Employees (India)
Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,1 Lakh+ Employees (India),
Arvind Group,4.1,(2.2k Reviews),Public,91 years old,10k-50k Employees (India)
Gati kwe,4.1,(2k Reviews),Private,10 years old,1k-5k Employees (India)
Muthoot Finance,3.6,(2k Reviews),Public,83 years old,10k-50k Employees (India)
NatWest Group,4.1,(2k Reviews),Chennai + 18 more,,
VE Commercial Ve...,4.1,(1.9k Reviews),Private,14 years old,1k-5k Employees (India)
Varun Beverages,4.0,(1.9k Reviews),Public,27 years old,5k-10k Employees (India)
Shoppers Stop,4.3,(2.1k Reviews),Public,31 years old,10k-50k Employees (India)
Cummins,4.4,(1.9k Reviews),"Columbus,Indiana + 74 more",10k-50k Employees (India),
Atos,3.8,(6.3k Reviews),Private,25 years old,10k-50k Employees (India)
Macleods Pharmac...,4.0,(1.9k Reviews),Public,36 years old,5k-10k Employees (India)
Indian Air Force,4.6,(1.9k Reviews),Private,90 years old,1 Lakh+ Employees (India)
Suzlon Group,4.2,(1.9k Reviews),Public,27 years old,5k-10k Employees (India)
CMS IT Services,3.2,(1.9k Reviews),Private,8 years old,5k-10k Employees (India)
McDonald's,4.3,(1.9k Reviews),Private,67 years old,5k-10k Employees (India)
American Express,4.4,(2k Reviews),Private,172 years old,10k-50k Employees (India)
Virtusa Consulti...,3.8,(1.9k Reviews),Private,26 years old,5k-10k Employees (India)
Optum,4.1,(1.9k Reviews),Private,45 years old,50k-1 Lakh Employees (India)
Glenmark Pharmac...,4.2,(1.9k Reviews),Public,45 years old,5k-10k Employees (India)
DTDC Express,4.0,(1.9k Reviews),Private,32 years old,1k-5k Employees (India)
Bel,4.2,(1.9k Reviews),Private,68 years old,5k-10k Employees (India)
ABB Group,4.1,(1.9k Reviews),Public,21 years old,5k-10k Employees (India)
Randstad,4.1,(1.9k Reviews),Private,30 years old,1k-5k Employees (India)
Alkem Laboratori...,4.1,(1.9k Reviews),Public,49 years old,10k-50k Employees (India)
Deutsche Bank,4.3,(1.9k Reviews),Private,152 years old,10k-50k Employees (India)
Lava Internation...,4.2,(1.8k Reviews),Public,13 years old,1k-5k Employees (India)
Honda Motorcycle...,4.2,(1.8k Reviews),Private,23 years old,5k-10k Employees (India)
Standard Charter...,4.2,(4.3k Reviews),Private,53 years old,5k-10k Employees (India)
Reliance Nippon ...,3.9,(1.8k Reviews),Private,22 years old,10k-50k Employees (India)
Havells,4.2,(2k Reviews),Public,39 years old,5k-10k Employees (India)
Swiggy,4.2,(1.8k Reviews),Private,8 years old,1k-5k Employees (India)
Pidilite Industr...,4.4,(1.9k Reviews),Public,63 years old,5k-10k Employees (India)
KocharTech,4.5,(1.8k Reviews),Private,27 years old,501-1k Employees (India)
Ipca Laboratorie...,4.1,(1.8k Reviews),Public,73 years old,5k-10k Employees (India)
DCB Bank,4.0,(1.8k Reviews),Private,92 years old,5k-10k Employees (India)
Bajaj Electrical...,4.1,(1.8k Reviews),Public,84 years old,5k-10k Employees (India)
Indian Oil Corpo...,4.4,(2k Reviews),Private,63 years old,10k-50k Employees (India)
24/7 Customer,3.6,(1.8k Reviews),Private,22 years old,5k-10k Employees (India)
Conduent,3.7,(1.7k Reviews),Private,5 years old,5k-10k Employees (India)
Titan Company,4.4,(1.7k Reviews),Public,4 years old,5k-10k Employees (India)
Future Retail,4.2,(4.4k Reviews),Public,35 years old,10k-50k Employees (India)
Tata Teleservice...,4.2,(1.7k Reviews),Public,26 years old,201-500 Employees (India)
Maersk,4.4,(1.7k Reviews),Private,118 years old,10k-50k Employees (India)
Hindalco Industr...,4.3,(1.7k Reviews),Public,64 years old,10k-50k Employees (India)
MRF Tyres,3.7,(1.8k Reviews),Public,76 years old,1k-5k Employees (India)
PepsiCo,4.1,(1.8k Reviews),Private,33 years old,1 Lakh+ Employees (India)
State Street Syn...,3.8,(1.7k Reviews),Private,18 years old,501-1k Employees (India)
